Description,Description Summarized,Sector
"Corteva, Inc. is a global provider of seed and crop protection solutions focused on the agriculture industry. Its seed segment is engaged in developing and supplying germplasm and traits that produce optimum yields for farms around the world. This segment offers trait technologies that improve resistance to weather, disease, insects and herbicides used to control weeds, and trait technologies that enhance food and nutritional characteristics, and provides digital solutions that assist farmers in decision-making. Its crop protection segment serves the global agricultural input industry with products that protect against weeds, insects and other pests, and disease, and that improve overall crop health both above and below ground through nitrogen management and seed-applied technologies. This segment provides herbicides, insecticides, nitrogen stabilizers and pasture and range management herbicides. Its portfolio of brands includes CLOSER, DELEGATE, Pioneer, Brevant seeds and others.","Corteva, Inc. is a global provider of seed and crop protection solutions focused on the agriculture industry. Its seed segment is engaged in developing and supplying germplasm and traits that produce optimum yields for farms around the world. This segment offers trait technologies that improve resistance to weather, disease, insects and herbicides used to control weeds.",Materials
"Alico, Inc. is an agribusiness and land management company. The Company's principal lines of business are citrus groves and conservation. The Company's segments include Alico Citrus and Land Management and Other Operations. The Alico Citrus segment owns and manages citrus land in DeSoto, Polk, Collier, Hendry, Charlotte, Highlands, and Hardee Counties in the state of Florida and engages in the cultivation of citrus trees to produce citrus for delivery to the fresh and processed citrus markets. The Land Management and Other Operations segment owns and manages land in Collier, Glades, and Hendry Counties and is engaged in land leasing for recreational and grazing purposes, conservation, and mining activities. The Company owns approximately 81,000 acres of land and approximately 90,000 acres of mineral rights throughout Florida. The Company holds these mineral rights on all its owned acres, with additional mineral rights on other acres. ","Alico, Inc. is an agribusiness and land management company. The Company's principal lines of business are citrus groves and conservation. Its segments include Alico Citrus and Land Management and Other Operations. The company owns approximately 81,000 acres of land and approximately 90,00 acres of mineral rights throughout Florida.",Consumer Staples
"Limoneira Company is primarily an agribusiness company. The Company is engaged primarily in growing citrus and avocados, picking, and hauling citrus, and packing, marketing, and selling citrus. The Company has three business divisions, such as agribusiness, rental operations, and real estate development. The agribusiness division is comprised of four segments: fresh lemons, lemon packing, avocados, and other agribusiness, which includes oranges, specialty citrus and other crops. The agribusiness division includes its core operations of farming, harvesting, lemon packing and lemon sales operations. The rental operations division includes its residential and commercial rentals, leased land operations and organic recycling. The real estate development division includes its investments in real estate development projects. It markets and sells citrus directly to food service, wholesale, and retail customers throughout the United States, Canada, Asia, Europe, and other international markets.","Limoneira is engaged in growing citrus and avocados. The Company has three business divisions, such as agribusiness, rental operations, and real estate development. It markets and sells citrus directly to food service, wholesale, and retail customers throughout the United States, Canada, Asia, Europe, and other international markets.",Consumer Staples
"S&W Seed Company (S&W) is a multi-crop and middle-market agricultural company. The Company is focused on the breeding, production and sale of agricultural seeds. The Company has four product crops: Alfalfa, Sorghum, Sunflower and Stevia. The Company produces alfalfa seed varieties that bred for warm climates and high-yields, including varieties that can thrive in poor, saline soils. Forage sorghum is used mainly for cattle grazing, hay production and silage. Its forage sorghum varieties feature stem quality, standability, high sugar levels, high dry matter production, and low prussic acid levels. Its stevia plant breeding program offers improved stevia varieties to those growers and processors seeking to improve their operations. The Company owns seed cleaning and processing facilities, which are in Nampa, Idaho, Dumas, Texas, Keith, Penfield and South Australia. The Company’s seed products are mainly grown under contract by farmers.","S&W Seed Company is focused on the breeding, production and sale of agricultural seeds. The Company has four product crops: Alfalfa, Sorghum, Sunflower and Stevia. Its forage sorghum varieties feature stem quality, standability, high sugar levels, high dry matter production and low prussic acid levels.",Consumer Staples
"Tejon Ranch Co. is a diversified real estate development and agribusiness company, which operates through five segments. The Real Estate-Commercial/Industrial segment is engaged in planning and permitting of land held for development; construction of infrastructure; the construction of pre-leased buildings; the construction of buildings to be leased or sold, and the sale of land to third parties for their own development. The Real Estate-Resort/Residential segment activities include land entitlement, land planning and pre-construction engineering and conservation activities. The Mineral Resources segment includes oil and gas royalties, rock and aggregate royalties, royalties from a cement operation leased, and the management of water assets and water infrastructure. The Farming Operations segment farm permanent crops, including the wine grapes, almonds and pistachios. The Ranch Operations segment consists of game management and ancillary land uses, such as grazing leases and filming.","Tejon Ranch Co. is a diversified real estate development and agribusiness company. The company operates through five segments. The Farming Operations segment farm permanent crops, including the wine grapes, almonds and pistachios. The Ranch Operations segment consists of game management and ancillary land uses.",Real Estate
"Cal-Maine Foods, Inc. is a producer and distributor of shell eggs in the United States. The Company operates through the segment of production, grading, packaging, marketing and distribution of shell eggs. Its operations consist of hatching chicks, growing and maintaining flocks of pullets, layers, and breeders, manufacturing feed, and producing, processing, packaging, and distributing shell eggs. It offers shell eggs, including specialty and conventional eggs. It classifies cage-free, organic and brown eggs as specialty eggs. Its Egg-Land’s Best and Land O’ Lakes branded eggs are produced and processed under license from Eggland's Best, Inc. (EB). Its Farmhouse Eggs branded eggs are produced at its facilities by cage-free hens that are provided with a vegetarian diet. It markets organic, vegetarian, and omega-3 eggs under its 4-Grain brand. Its egg products are sold through its subsidiaries American Egg Products, LLC located in Georgia and Texas Egg Products, LLC located in Texas.","Cal-Maine Foods, Inc. is a producer and distributor of shell eggs in the United States. The Company operates through the segment of production, grading, packaging, marketing and distribution of shell Eggs. Its Farmhouse Eggs branded eggs are produced at its facilities by cage-free hens that are provided with a vegetarian diet.",Consumer Staples
"BrightView Holdings, Inc. is a commercial landscaping services company. The Company provides commercial landscaping services in the United States, ranging from landscape maintenance and enhancements to tree care and landscape development, as well as snow and ice removal services. The Maintenance Services segment delivers a suite of recurring commercial landscaping services ranging from mowing, gardening, mulching and snow removal, to more horticulturally advanced services, such as water management, irrigation maintenance, tree care, golf course maintenance, and specialty turf maintenance. The Development Services segment provides landscape architecture and development services for new facilities and redesign projects. Its specific services include project design and management services, landscape architecture, landscape installation, irrigation installation, and tree moving and installation, among others.","BrightView Holdings, Inc. provides commercial landscaping services in the United States. The company's maintenance services include mowing, gardening, mulching and snow removal. The Development Services segment provides landscape architecture and development services for new facilities and redesign projects. Its specific services include project design and management services, landscape architecture, landscape installation and irrigation installation.",Industrials
"Cleveland-Cliffs Inc. is an integrated mining and flat-rolled steel producer. It is engaged in manufacturing iron ore pellets. It is vertically integrated from mined raw materials, direct reduced iron and ferrous scrap to primary steelmaking and downstream finishing, stamping, tooling, and tubing. It offers advanced high-strength steels (AHSS), hot-dipped galvanized, aluminized, galvalume, electrogalvanized, galvanneal, hot-rolled coil (HRC), cold-rolled coil, plate, tinplate, grain oriented electrical steel (GOES), non-oriented electrical steel (NOES), stainless steels, tool and die, stamped components, rail, slab and cast ingot. It provides steel solutions, such as operations of tooling and stamping, which provides advanced-engineered solutions, tool design and build, hot and cold-stamped components, and complex assemblies for the automotive market. It serves various markets, such as automotive, infrastructure and manufacturing, steel producers, and distributors and converters.","Cleveland-Cliffs Inc. is vertically integrated from mined raw materials, direct reduced iron and ferrous scrap to primary steelmaking and downstream finishing. It offers advanced high-strength steels (AHSS), hot-dipped galvanized, aluminized, galvalume, electrogalvanized, galvanneal, hot-rolled coil (HRC)",Materials
"Freeport-McMoRan Inc. (FCX) is a mining company. The Company operates through geographical assets with proven and probable reserves of copper, gold and molybdenum, and traded copper producer. The Company's segments include refined copper products, copper in concentrate, gold, molybdenum, oil and other. The Company's segments include the Morenci, Cerro Verde, Grasberg copper mines, the Rod & Refining operations and the United States (U.S.) Oil and Gas Operations. The Company has organized its operations into five divisions, which include North America copper mines, South America mining, Indonesia mining and Molybdenum mines. The Company's portfolio of assets includes the Grasberg minerals district in Indonesia, copper and gold deposits, and mining operations in the Americas, including the large-scale Morenci minerals district in North America and the Cerro Verde operation in South America.","Freeport-McMoRan Inc. (FCX) is a mining company. The Company operates through geographical assets with proven and probable reserves of copper, gold and molybdenum, and traded copper producer. Its portfolio of assets includes the Grasberg minerals district in Indonesia.",Materials
"Solitario Zinc Corp.(Solitario) is a natural resource exploration and development company. Solitario primary focus is acquisition and exploration of zinc-related and precious metals exploration mineral properties or royalties and/or discover economic deposits on its mineral properties and advance these deposits, either on its own or through joint ventures, up to the development stage. The Company owns Golden Crest Project, which is early-stage exploration project located in the northern Black Hills of western South Dakota in Lawrence County. The Golden Crest Project is comprised of over 1390 unpatented lode claims, with an associated area of just under 28,000 acres. It is focused on the evaluation of mineral properties in North and South America. Solitario holds approximately 50% joint venture interest in the open-pittable Lik zinc deposit in Alaska and approximately 39% joint venture interest on the Florida Canyon zinc project in Peru. ","Solitario Zinc Corp. is a natural resource exploration and development company. Solitario primary focus is acquisition and exploration of zinc-related and precious metals exploration mineral properties or royalties. The Company owns Golden Crest Project, which is early-stage exploration project located in the northern Black Hills of western South Dakota in Lawrence County.",Materials
